2017,Enero,Febrero,Marzo,Abril,Mayo,Junio, Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Demanda Laborable,"245,869","251,789","253,829","259,206","264,889","260,283","256,054","261,154","265,410","271,072","268,708","282,191"
Demanda Sábados,"188,951","167,757","196,018","185,573","199,347","204,581","203,833","200,959","208,671","213,240","172,915","225,191"
Demanda Feriados,"83,003","85,607","89,808","85,368","89,357","90,130","95,652","90,264","97,683","100,615","90,463","109,891"
Demanda Mes,"6,254,205","5,799,020","6,981,374","6,364,989","7,071,717","6,905,067","6,874,553","7,171,437","7,007,702","7,319,611","6,512,803","7,256,828"
Activaciones de Botón de Frenado de Urgencia BFU,7,5,5,5,6,5,6,4,4,4,4,9
Usuarios Accidentados,23,14,19,31,17,31,24,28,26,21,23,21
Usuarios Indispuestos,117,98,125,138,159,166,167,151,141,138,109,121
2018,Enero,Febrero,,,,,,,,,,
Demanda Laborable,"251,595","260,374",,,,,,,,,,
Demanda Sábados,"194,234","169,070",,,,,,,,,,
Demanda Feriados,"82,150","83,443",,,,,,,,,,
Demanda Mes,"6,553,318","5,857,988",,,,,,,,,,
Activaciones de Botón de Frenado de Urgencia BFU,3,1,,,,,,,,,,
Usuarios Accidentados,22,8,,,,,,,,,,
Usuarios Indispuestos,131,101,,,,,,,,,,
